date_range_start,county,type,month_count
2019-01,13057,supermarket,17286
2019-01,13059,supermarket,4926
2019-01,13061,supermarket,137
2019-01,13063,supermarket,14040
2019-01,13065,supermarket,239
2019-01,13067,supermarket,41675
2019-01,13069,supermarket,2001
2019-01,13071,supermarket,1581
2019-01,13073,supermarket,6954
2019-01,13075,supermarket,668
2019-01,13077,supermarket,9645
2019-01,13079,supermarket,517
2019-01,13081,supermarket,867
2019-01,13083,supermarket,686
2019-01,13085,supermarket,1913
2019-01,13087,supermarket,781
2019-01,13089,supermarket,31284
2019-01,13091,supermarket,561
2019-01,13093,supermarket,279
2019-01,13095,supermarket,2795
2019-01,13097,supermarket,8446
2019-01,13099,supermarket,349
2019-01,13101,supermarket,208
2019-01,13103,supermarket,3253
2019-01,13105,supermarket,1064
2019-01,13107,supermarket,673
2019-01,13109,supermarket,241
2019-01,13111,supermarket,929
2019-01,13113,supermarket,6725
2019-01,13115,supermarket,5140
2019-01,13117,supermarket,16676
2019-01,13119,supermarket,908
2019-01,13121,supermarket,47091
2019-01,13123,supermarket,1734
2019-01,13125,supermarket,217
2019-01,13127,supermarket,3873
2019-01,13129,supermarket,2778
2019-01,13131,supermarket,971
2019-01,13133,supermarket,652
2019-01,13135,supermarket,42072
2019-01,13137,supermarket,2227
2019-01,13139,supermarket,10459
2019-01,13141,supermarket,193
2019-01,13143,supermarket,1824
2019-01,13145,supermarket,1744
2019-01,13147,supermarket,1064
2019-01,13149,supermarket,603
2019-01,13151,supermarket,11342
2019-01,13153,supermarket,9294
2019-01,13155,supermarket,374
2019-01,13157,supermarket,4325
2019-01,13159,supermarket,964
2019-01,13161,supermarket,426
2019-01,13163,supermarket,917
2019-01,13165,supermarket,269
2019-01,13167,supermarket,311
2019-01,13169,supermarket,1434
2019-01,13171,supermarket,701
2019-01,13173,supermarket,602
2019-01,13175,supermarket,3005
2019-01,13177,supermarket,2065
2019-01,13179,supermarket,3590
2019-01,13181,supermarket,228
2019-01,13183,supermarket,606
2019-01,13185,supermarket,4558
2019-01,13187,supermarket,1649
2019-01,13189,supermarket,1130
2019-01,13191,supermarket,549
2019-01,13193,supermarket,358
2019-01,13195,supermarket,2011
2019-01,13197,supermarket,235
2019-01,13199,supermarket,856
2019-01,13201,supermarket,315
2019-01,13205,supermarket,819
2019-01,13207,supermarket,1656
2019-01,13209,supermarket,214
2019-01,13211,supermarket,1215
2019-01,13213,supermarket,1602
2019-01,13215,supermarket,5648
2019-01,13217,supermarket,4704
2019-01,13219,supermarket,2261
2019-01,13221,supermarket,927
2019-01,13223,supermarket,12087
2019-01,13225,supermarket,1209
2019-01,13227,supermarket,2232
2019-01,13229,supermarket,1045
2019-01,13231,supermarket,1326
2019-01,13233,supermarket,1850
2019-01,13235,supermarket,643
2019-01,13237,supermarket,1091
2019-01,13239,supermarket,75
2019-01,13241,supermarket,394
2019-01,13243,supermarket,166
2019-01,13245,supermarket,8329
2019-01,13247,supermarket,3770
2019-01,13249,supermarket,311
2019-01,13251,supermarket,527
2019-01,13253,supermarket,517
2019-01,13255,supermarket,3914
2019-01,13257,supermarket,599
2019-01,13259,supermarket,95
2019-01,13261,supermarket,1226
2019-01,13263,supermarket,173
2019-01,13265,supermarket,40
2019-01,13267,supermarket,667
2019-01,13269,supermarket,312
2019-01,13271,supermarket,499
2019-01,13273,supermarket,384
2019-01,13275,supermarket,2238
2019-01,13277,supermarket,1598
2019-01,13279,supermarket,740
2019-01,13281,supermarket,310
2019-01,13283,supermarket,152
2019-01,13285,supermarket,2874
2019-01,13287,supermarket,434
2019-01,13289,supermarket,303
2019-01,13291,supermarket,748
2019-01,13293,supermarket,1303
2019-01,13295,supermarket,3188
2019-01,13297,supermarket,4994
2019-01,13299,supermarket,1545
2019-01,13301,supermarket,239
2019-01,13303,supermarket,614
2019-01,13305,supermarket,792
2019-01,13307,supermarket,95
2019-01,13309,supermarket,154
2019-01,13311,supermarket,1318
2019-01,13313,supermarket,2207
2019-01,13315,supermarket,195
2019-01,13317,supermarket,638
2019-01,13319,supermarket,462
2019-01,13321,supermarket,634
2019-01,15001,supermarket,5825
2019-01,15003,supermarket,23819
2019-01,15007,supermarket,2981
2019-01,15009,supermarket,7119
2019-01,16001,supermarket,16352
2019-01,16003,supermarket,211
2019-01,16005,supermarket,3089
2019-01,16007,supermarket,164
2019-01,16009,supermarket,276
2019-01,16011,supermarket,1256
2019-01,16013,supermarket,966
2019-01,16015,supermarket,187
2019-01,16017,supermarket,1238
2019-01,16019,supermarket,3279
2019-01,16021,supermarket,363
2019-01,16023,supermarket,78
2019-01,16025,supermarket,65
2019-01,16027,supermarket,8315
2019-01,16029,supermarket,316
2019-01,16031,supermarket,849
2019-01,16035,supermarket,265
2019-01,16037,supermarket,102
2019-01,16039,supermarket,417
2019-01,16041,supermarket,190
2019-01,16043,supermarket,541
2019-01,16045,supermarket,573
2019-01,16047,supermarket,548
2019-01,16049,supermarket,287
2019-01,16051,supermarket,1068
2019-01,16053,supermarket,667
2019-01,16055,supermarket,5064
2019-01,16057,supermarket,1348
2019-01,16059,supermarket,20
2019-01,16061,supermarket,101
2019-01,16063,supermarket,209
2019-01,16065,supermarket,1398
2019-01,16067,supermarket,732
2019-01,16069,supermarket,1982
2019-01,16071,supermarket,143
2019-01,16073,supermarket,474
2019-01,16075,supermarket,807
2019-01,16077,supermarket,244
2019-01,16079,supermarket,271
2019-01,16081,supermarket,397
2019-01,16083,supermarket,4013
2019-01,16085,supermarket,534
2019-01,16087,supermarket,355
2019-01,17001,supermarket,2750
2019-01,17003,supermarket,52
2019-01,17005,supermarket,582
2019-01,17007,supermarket,2961
2019-01,17009,supermarket,122
